Data_log_version: 1.0
timestamp current_mode current_grip thumb_pitch_compliance_raw_counts thumb_roll_compliance_raw_counts index_compliance_raw_counts thumb_pitch_position thumb_roll_position wrist_rotator_position wrist_flexor_position index_finger_position mrp_fingers_aggregate_position index_lateral_force_sensor index_tip_force_sensor middle_tip_force_sensor ring_tip_force_sensor pinky_tip_force_sensor index_lateral_force_sensor_status index_tip_force_sensor_status middle_tip_force_sensor_status ring_tip_force_sensor_status pinky_tip_force_sensor_status distal_palm_force_sensor proximal_palm_force_sensor hand_edge_force_sensor hand_dorsal_force_sensor distal_palm_force_sensor_status proximal_palm_force_sensor_status hand_edge_force_sensor_status hand_dorsal_force_sensor_status thumb_ulnar_force_sensor thumb_radial_force_sensor thumb_tip_force_sensor thumb_dorsal_force_sensor thumb_ulnar_force_sensor_status thumb_radial_force_sensor_status thumb_tip_force_sensor_status thumb_dorsal_force_sensor_status can_frame_wifp_id can_frame_wifp_data[0] can_frame_wifp_data[1] can_frame_wifp_data[2] can_frame_wifp_data[3] can_frame_wifp_data[4] can_frame_wifp_data[5] can_frame_wifp_data[6] can_frame_wifp_data[7] can_frame_tifc_id can_frame_tifc_data[0] can_frame_tifc_data[1] can_frame_tifc_data[2] can_frame_tifc_data[3] can_frame_tifc_data[4] can_frame_tifc_data[5] can_frame_tifc_data[6] can_frame_tifc_data[7] can_frame_thup_id can_frame_thup_data[0] can_frame_thup_data[1] can_frame_thup_data[2] can_frame_thup_data[3] can_frame_thup_data[4] can_frame_thup_data[5] can_frame_thup_data[6] can_frame_thup_data[7] can_frame_sync_id can_frame_sync_data[0] can_frame_sync_data[1] can_frame_sync_data[2] can_frame_sync_data[3] can_frame_sync_data[4] can_frame_sync_data[5] can_frame_sync_data[6] can_frame_sync_data[7] can_frame_hfs1_id can_frame_hfs1_data[0] can_frame_hfs1_data[1] can_frame_hfs1_data[2] can_frame_hfs1_data[3] can_frame_hfs1_data[4] can_frame_hfs1_data[5] can_frame_hfs1_data[6] can_frame_hfs1_data[7] can_frame_hfs2_id can_frame_hfs2_data[0] can_frame_hfs2_data[1] can_frame_hfs2_data[2] can_frame_hfs2_data[3] can_frame_hfs2_data[4] can_frame_hfs2_data[5] can_frame_hfs2_data[6] can_frame_hfs2_data[7] can_frame_hfs3_id can_frame_hfs3_data[0] can_frame_hfs3_data[1] can_frame_hfs3_data[2] can_frame_hfs3_data[3] can_frame_hfs3_data[4] can_frame_hfs3_data[5] can_frame_hfs3_data[6] can_frame_hfs3_data[7]
1585331786.677813 3 0 1548 2223 2153 1.025926 0.206712 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.800000 4.500000 9.800000 3.700000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 12 8 175 8 105 0 0 1215 14 178 2 246 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 58 45 98 37 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.687794 3 0 1549 2223 2153 1.027290 0.208076 0.031361 0.006545 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.400000 4.700000 9.600000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 35 0 137 1196 6 13 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 54 47 96 38 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.697858 3 0 1549 2223 2153 1.027290 0.208076 0.031361 0.006545 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.600000 4.800000 9.400000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 35 0 137 1196 6 13 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 56 48 94 39 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.707826 3 0 1549 2222 2153 1.027290 0.208076 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.800000 9.500000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 13 8 174 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 1 577 0 7 6 25 0 0 106 8 833 57 48 95 39 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.717806 3 0 1549 2222 2153 1.027290 0.208076 0.031361 0.005727 0.015272 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.500000 4.800000 9.700000 3.700000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 56 0 137 1196 6 13 8 174 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 55 48 97 37 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.727780 3 0 1548 2223 2154 1.025926 0.206712 0.031361 0.005727 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.500000 4.600000 9.900000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.200000 0 0 0 0 1194 0 115 0 21 0 35 0 137 1196 6 12 8 175 8 106 0 0 1215 14 178 2 246 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 55 46 99 38 0 0 0 1 1218 0 0 6 2 0 0 0 0
1585331786.737814 3 0 1548 2223 2154 1.027290 0.208076 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.600000 4.700000 9.800000 3.600000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 12 8 175 8 106 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 56 47 98 36 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.747846 3 0 1549 2223 2153 1.025926 0.206712 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.600000 9.500000 3.700000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 13 8 175 8 105 0 0 1215 14 178 2 246 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 46 95 37 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.757861 3 0 1549 2223 2153 1.027290 0.208076 0.031361 0.004909 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.600000 10.000000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 18 0 35 0 137 1196 6 13 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 46 100 38 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.767839 3 0 1549 2223 2153 1.027290 0.208076 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.700000 10.000000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.200000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 13 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 47 100 38 0 0 0 1 1218 0 0 6 2 0 0 0 0
1585331786.777839 3 0 1549 2223 2153 1.027290 0.208076 0.031361 0.005727 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.500000 9.800000 3.600000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 35 0 137 1196 6 13 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 45 98 36 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.787766 3 0 1549 2223 2154 1.027290 0.209440 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.600000 9.300000 3.700000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 13 8 175 8 106 0 0 1215 14 183 3 0 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 46 93 37 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.797810 3 0 1549 2223 2154 1.027290 0.208076 0.031361 0.005727 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.500000 9.300000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 35 0 137 1196 6 13 8 175 8 106 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 45 93 38 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.807840 3 0 1551 2224 2153 1.027290 0.208076 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.600000 4.600000 9.700000 3.700000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 15 8 176 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 1 577 0 7 6 25 0 0 106 8 833 56 46 97 37 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.817843 3 0 1551 2224 2153 1.027290 0.208076 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.600000 4.800000 9.800000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 15 8 176 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 56 48 98 39 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.827871 3 0 1548 2223 2153 1.027290 0.208076 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.800000 4.600000 9.700000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 12 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 58 46 97 38 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.837819 3 0 1548 2223 2153 1.027290 0.208076 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.800000 4.800000 9.900000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.200000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 12 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 58 48 99 39 0 0 0 1 1218 0 0 6 2 0 0 0 0
1585331786.847768 3 0 1549 2223 2153 1.025926 0.206712 0.031361 0.005727 0.010363 0.037906 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.500000 9.800000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.200000 0 0 0 0 1194 0 115 0 21 0 38 0 139 1196 6 13 8 175 8 105 0 0 1215 14 178 2 246 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 45 98 39 0 0 0 1 1218 0 0 6 2 0 0 0 0
1585331786.857785 3 0 1549 2223 2153 1.025926 0.206712 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.600000 9.800000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 13 8 175 8 105 0 0 1215 14 178 2 246 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 46 98 39 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.867855 3 0 1549 2223 2153 1.025926 0.206712 0.031361 0.006545 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.800000 9.900000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.200000 0 0 0 0 1194 0 115 0 24 0 35 0 137 1196 6 13 8 175 8 105 0 0 1215 14 178 2 246 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 48 99 39 0 0 0 1 1218 0 0 6 2 0 0 0 0
1585331786.877862 3 0 1549 2223 2153 1.025926 0.206712 0.031361 0.006545 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.700000 9.800000 3.700000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 35 0 137 1196 6 13 8 175 8 105 0 0 1215 14 178 2 246 0 0 255 253 128 3 4 2 1 0 154 0 0 577 0 7 6 25 0 0 106 8 833 57 47 98 37 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.887863 3 0 1549 2223 2154 1.027290 0.208076 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.500000 4.600000 9.900000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 13 8 175 8 106 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 55 46 99 39 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.897833 3 0 1549 2223 2154 1.027290 0.208076 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.500000 4.600000 9.700000 3.600000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 13 8 175 8 106 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 55 46 97 36 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.907858 3 0 1548 2223 2153 1.025926 0.206712 0.031361 0.005727 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.900000 4.700000 9.900000 3.700000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 35 0 137 1196 6 12 8 175 8 105 0 0 1215 14 178 2 246 0 0 255 254 128 3 4 2 1 0 155 0 1 577 0 7 6 25 0 0 106 8 833 59 47 99 37 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.917817 3 0 1548 2223 2153 1.027290 0.208076 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.600000 4.700000 9.700000 4.000000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 12 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 56 47 97 40 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.927809 3 0 1549 2224 2153 1.027290 0.208076 0.031361 0.006545 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.600000 4.700000 9.700000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 24 0 35 0 137 1196 6 13 8 176 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 56 47 97 38 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.937845 3 0 1549 2224 2153 1.027290 0.208076 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.600000 9.900000 4.000000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 13 8 176 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 46 99 40 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.947804 3 0 1549 2223 2153 1.027290 0.208076 0.031361 0.005727 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.500000 4.500000 9.600000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 35 0 137 1196 6 13 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 55 45 96 38 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.957779 3 0 1549 2223 2153 1.025926 0.206712 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.500000 9.700000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.200000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 13 8 175 8 105 0 0 1215 14 178 2 246 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 45 97 38 0 0 0 1 1218 0 0 6 2 0 0 0 0
1585331786.967822 3 0 1549 2223 2153 1.027290 0.208076 0.031361 0.005727 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.700000 4.600000 9.800000 3.900000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 38 0 137 1196 6 13 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 57 46 98 39 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.977886 3 0 1549 2223 2153 1.027290 0.208076 0.031361 0.005727 0.009545 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.600000 4.800000 9.800000 3.800000 0 0 0 0 0.000000 0.000000 0.600000 0.300000 0 0 0 0 1194 0 115 0 21 0 35 0 137 1196 6 13 8 175 8 105 0 0 1215 14 183 2 251 0 0 255 254 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 56 48 98 38 0 0 0 1 1218 0 0 6 3 0 0 0 0
1585331786.987843 3 0 1548 2224 2153 1.027290 0.208076 0.031361 0.006545 0.010363 0.037361 0.000000 0.700000 0.600000 2.500000 0.000000 0 0 0 0 0 5.600000 4.700000 9.600000 4.000000 0 0 0 0 0.000000 0.000000 0.600000 0.200000 0 0 0 0 1194 0 115 0 24 0 38 0 137 1196 6 12 8 176 8 105 0 0 1215 14 183 2 251 0 0 255 253 128 3 4 2 1 0 155 0 0 577 0 7 6 25 0 0 106 8 833 56 47 96 40 0 0 0 1 1218 0 0 6 2 0 0 0 0
